"username--style37","u-dt","bbWrapper"
"Hank Chinaski","Saturday at 8:06 PM","Jets: Iafallo or Lowry. HM to Niederreiter."
"Macheteops","Saturday at 8:56 PM","McDavid is better at attacking the player with the puck

He tends to lose his man some when his guy doesn't have the puck in their own zone"
"Nick Lang","Saturday at 9:50 PM","Blueger or Miller for me as a Canucks fan. I can't actually believe I said Miller. Huge turnaround from 3-4 years ago."
"MessierII","Yesterday at 11:04 AM","What can I say? Brown is really good defensively. This is a guy who didn’t score a single goal until the 65th game of the season on a team with cup aspirations. He wasn’t kept around for his secondary scoring lol. Hes a tenacious checker and smart player. Great defensive stick and knows when to pressure guys. Henrique and Janmark are strong defensive guys too but brown to me was the anchor on that line and his PK work is unbelievable as well."
"Muffinalt","Yesterday at 11:10 AM","About the only one we have too..."
"FerrisRox","Yesterday at 11:29 AM","What's with the gif?

Connor Brown was outstanding defensively for the Oilers, and was really good with the Senators before that too.

He plays a very tenacious style and is excellent positionally without the puck."
"Roo","Yesterday at 11:50 AM","I would say kampf for the leafs."
"piqued","Yesterday at 11:56 AM","Hintz"
"","Yesterday at 12:23 PM","Compher or Copp"
"tarheelhockey","Yesterday at 12:31 PM","In terms of pure matchup defense, Jordan Staal. 

Seth Jarvis has a pretty good case in terms of chaotic disruption of the other team."
"KirkAlbuquerque","Yesterday at 12:51 PM","Probably Zibanejad . His advanced stats don’t really stand out but that’s because I feel like defensive metrics are heavily weighted by possession and he’s an awful possession player but he’s a good defender, works hard in the defensive zone and makes good defensive plays all the time"
"norrisnick","Yesterday at 12:56 PM","Can't wait for one of the kids to be 2C so those two can combine with Ras as a real pain in the ass matchup line."
"","Yesterday at 1:06 PM","IMO its Marner"
"Roo","Yesterday at 1:09 PM","Considered him for sure, but went with kampf bc he is so important on defensive faceoffs. Just my opinion, but I feel like anyone in the ‘best defensive forward’ category needs to be a centre given the responsibility of the position. But yeah, Marner is probably next on my list."
"Fatass","Yesterday at 1:10 PM","Habs aren’t “my” team (hate them actually) but really like Suzuki. IMO he’s a fabulous player, especially without the puck. He’s up there with the best defensively sound forwards in the league.


For sure it’s MM. he’s a Selke level forward."
"Kingfan1967","Yesterday at 1:34 PM","For LA it's still Kopitar, even at 36 he's one of the better defensive centers. Byfield is underrated too. (it's what LA as a team encourages)."
"Magic Mittens","Yesterday at 3:02 PM","Hintz, and then Johnston and Steel"
"kcunac","Yesterday at 3:06 PM","2 years ago maybe. Now it’s JT Miller. He’s the one always getting the tough matchups."
"Coffees","Yesterday at 3:15 PM","Yeah but this year it should be Pettersson getting the hard matchups


What makes Kopitar so great ?


Marner is a beast"
"HighNote","Yesterday at 3:32 PM","Blues

It's probably Buchnevich, but Thomas is right there and I'd throw Saad into the mix as well."
"Bounces R Way","Yesterday at 3:59 PM","Mikael Backlund gets some of the toughest matchups year in year out and still puts up Bergeron-like possession numbers. Coleman is pretty damn good too."
"BostonBob","Yesterday at 6:05 PM","The one Bruin player that everybody loves regardless of what team you cheer for:"
"","Yesterday at 6:10 PM","A couple of years ago I would have said Elias Lindholm. Now it's definitely Mikael Backlund."
"Coffees","Yesterday at 9:16 PM","Saad has always had excellent awareness also Thomas will be the best two way forward next year no doubt. Dudes got the right mentality


both these players are absolutely perfect for the rebuild to bring up the future Flames.

Already a great ground work for the Flames when you throw in the prospect pipeline from the backend"
"Craig Button","Yesterday at 9:59 PM","Marner AINEC"
"Fatass","Yesterday at 10:02 PM","Marner is soooo good. Crazy how some Leaf’s fans want to trade him. Stupid actually. Can rarely replace such players. Have the Habs replaced Gainy?"
"BonMorrison","Yesterday at 10:04 PM","Homie who dropped that gif about Brown got ratio’d and then never came back to the thread, eh? Love to see it."
"57special","Yesterday at 10:04 PM","That you might pick Greenway as your best defensive forward tells me why the Sabres always seem be less than the sum of their parts. I thought Cozens was decent defensively? Greenway was out of shape, lazy, and inconsistent for MN. 

For MN, it's easy. JEE all day long. Could be better on FO's... that's about it. I mean, if he had better speed he could cover McDavid and Mackinnon better, but those are two of the fastest players in the history of the game."
"Craig Button","Yesterday at 10:04 PM","Leaf fans are pretty dumb. 

Some think Wendel Clark was a good player. 

That’s says a lot"
"","Yesterday at 10:08 PM","Cirelli."
"pi314","Today at 12:39 AM","87 for the Pens"
