"u-dt","bbWrapper","username--style37"
"Jan 3, 2024","3 months to have trademark requests for names and logos filed and approved is not a lot of time. That's not even considering coming up with the names, designs, colorways, etc.

This isn't like coming up with a name for your fantasy football team.",""
"Jan 3, 2024","don’t get why the pwhl didn’t hire  to be the league’s commissioner. He’d would’ve had everything sorted out in two weeks. He’d have drawn the logos himself and had all the merch printed out from his basement","Emerica"
"Jan 3, 2024","three months was more than enough time to come up with names and logos….. they actually did come up ( and trademarked) with the six names in late October ….. the logos could have been created easily… with AI if needed. 

BOSTON WICKED
MINNESOTA SUPERIOR
MONTREAL ECHO
NEW YORK SOUND
OTTAWA ALERT
TORONTO TORCH","Tnuoc Alucard"
"Jan 3, 2024","Lol! Just gave it a try, with the prompt ""Create a logo for a hockey team named the Ottawa Alert"".




I'd buy a jersey with that on it. Go Ottawa Ojilates!

Also, from what I understand, trademark applications have been filed. In the US, it takes 12-18 months for a trademark to be approved.",""
"Jan 4, 2024","It was a good game, Montreal was noticeably better in the third after Ottawa dominated P1 and P2.

I will get to a game or 2.","Butchy Dakkar"
"Jan 4, 2024","I just used an AI Art Generator and it came up with this…for Boston




took less than a minute","Tnuoc Alucard"
"Jan 4, 2024","That's a terrible logo, lol. Do you think this is good?

Also:



Answered via AI!",""
"Jan 4, 2024","","Tnuoc Alucard"
"Jan 4, 2024","I get why folks think it was a marketing fumble not having logos, better merchandise, etc., but as others have pointed out timelines were tight, and resources were not infinite. Better to focus on the product first, start with a modest schedule and uniforms, and build it out from there. I think they are doing it the right way. What would have been worse would have been to put out rushed logos and jerseys that looked amateur hour, which would have been an excuse for everyone to pile on...","Larionov"
"Jan 4, 2024","-in November of 2024, USA elections. Many polls are suggesting Trump will eek out a win. With him is expected to be a more conservative, more right wing, more white supremist, more chauvinist movement.

the PWHL in the USA wanted to beat that

-Starting in 2024 NCAA football is going to look significantly different. And will introduce a 4 round playoff. It is expected to dominate the sports landscape from late August to early January.

The PWHL in the United States and to a lesser extent in Canada needed to beat that

-The NBA introduced their in-season tournament this year. With tweaks, it will return next year and possibly be bigger and get more attention. It operates from October to December.

The PWHL in the States and to a minor extent in Canada needed to beat that

-The 2024/2025 WJC is in Ottawa 

The PWHL needed to beat that 


The PWHL had no choice but to rush a start. They were faced with a window of opportunity that would slam shut if they waited until 2024.

They can now use the next 7 months to get team names, logos and uniforms and tweak start up issues and other.

this was a smart move.","Beech"
"Jan 6, 2024","JR said game 1 on TSN5 had 450k viewers for a regional game and 150k on RDS, not sure if that was peak or average.
Still good numbers for regional.","Golden_Jet"
"Jan 6, 2024","Right now the jerseys and logos are amateurish, All the teams look the same, except for the colour… It‘s like there are six teams from the same high school district…… if you flip on to a channel, and two teams are playing, you can’t tell by the Jersey, they are all the same.","Tnuoc Alucard"
"Jan 6, 2024","put down the bong, slide away from the table and clean off the Cheetos dust from your crotch…. Go out side for some fresh air.

Oh and stop listening to, and reciting left wing progressive talking points, as if they mean something.","Tnuoc Alucard"
"Jan 6, 2024","At least they have already got the Ottawa attitude.......losing","mianjo"
"Jan 7, 2024","Hey, I don't love it either - I'm just saying that a) it's somewhat understandable given the circumstances and b) there was an alternative outcome that was worse, which was a rushed job that resulted in bad uniforms and logos that people ridiculed. Boring and unimaginative is a better outcome than that. It's early days for this league - this will get addressed, probably by next season.","Larionov"
"Jan 7, 2024","With only a 24 games schedule, this season’s Champion will not seem as a true a championship team, when compared to next Season’s and future seasons when they play a full (?) game schedule.","Tnuoc Alucard"
"Jan 7, 2024","That's why Canada's victory at the Vancouver Olympics and Sid's goal are not true gold-medal performances. They didn't play 82 games plus playoffs. In Argentina and Spain nobody celebrates their recent World Cup wins for much the same reason.","Game 7 Meltdown"
"Jan 7, 2024","Are you comparing an Olympic tournament to the NHL regular season?

The NHL rewards the Stanley Cup Champions, with the Stanley Cup, not Gold medals?

why not compare the 82 regular season Stanley Cup Champions, to the strike/lockout shortened 48 game regular season Stanley Cup Champions?","Tnuoc Alucard"
"Jan 7, 2024","long live Trump..NOT","Beech"
"Jan 7, 2024","It is so disheartening to see how much of this crap people will spew if it's thrown in front of them long enough. It's really the end of the Western rule that we're facing.","TkachukMyAho"
"Jan 7, 2024","Was not referencing him, but your ridiculous take that white supremacy is, according to you, something to be concerned with…..","Tnuoc Alucard"
"Jan 8, 2024","So anyway,


6pm game start tonight. Hoping they can keep up the strong play in Boston.","Senscore"
"Jan 8, 2024","I ran a prompt through Runway a bunch of times to have it create a jersey design and it returned this ""logo"" or some variation of it many times","CornerStone61"
"Jan 8, 2024","PWHL game tonight in Boston has been postponed due to a nasty storm in the Boston area that has largely shut down their airport. Ottawa players spent about eight hours at the airport trying to get out before the league decided to abandon ship and reschedule....","Larionov"
"Jan 8, 2024","Alerts are hyenas?


Trumps own vitriolic rants are left-wing progressive talking points?","Flamingo"
"Jan 8, 2024","no, Beech’s rant are","Tnuoc Alucard"
"Jan 8, 2024","Trump: “I’m a racist autocrat.”
Beech: “Trump is a racist autocrat.”
Dracula: “Don’t believe MSM!”","Flamingo"
"Jan 9, 2024","Trust me, the two current probable candidates for POTUS, are both terrible Choices.

Sure the MSM claim Trump is a racist, but never, never offer a shred of proof… so don’t take their word for it.

However, there is way more proof that the current POTUS is a racist, than the former POTUS….. the current POTUS took a lead role in the fight, speaking out repeatedly and forcefully against sending white children to majority-black schools and black children to majority-white school back in the seventies …..He eulogized Robert Byrd, who was the grand wizard of the Ku Klux Klan (KKK).

If you know of anything Trump did, that comes close to what his successor has done, let us know.","Tnuoc Alucard"
"Jan 9, 2024","Again with media. I'm not citing any media interpretation. Just look at Trump's own words. This has the potential to blow up into a protracted political and ethical debate. My point is that people who defend Trump's odious behavior deflect by denying plain facts and blaming the media/MSM/liberal media for spreading propaganda and lies. It's really weak and it tears a huge hole in the fabric of society.

You want Trump examples?

Per Trump, immigrants are ""poisoning the blood of our country."" That's a quote from this year.

A little further back in time, a group in Charlottesville gathered to protest the removal of a statue of Robert E. Lee. Another group of counter-protesters gatheres. An individual drove their car into the counter-protesters, killing one and injuring many. At the risk of criticizing his Confederation-loving supporters, his statement was that ""I think there was blame on both sides.""

And I could dig up everything about Trump not accepting black residents in his NYC apartment complexes in 1980s and 1990s.

On Biden's opposition to the USA's bussing program, sure, most opposition came from white parents who didn't want black students bussed to their schools, aligning that position with racist attitudes. Biden's response to that was he opposed federal mandates of programs that should be managed locally, at the level where racial segregation by neighbourhoods was understood and could be more well-administered. I had to google all that this morning, so if you think there's a point about Biden's postion that you really think outs him as racist, you'll have to present it more clearly.","Flamingo"
"Jan 9, 2024","Is it me or we're sounding very American right now?

Everything is political and everything is the opposite party/party leaders fault.

If you're left wing you blame Trump and the Republicans for everything, and If you're right wing you blame Biden and the Democrats for everything.

Let's not try to be American. Let's be more moderate...more in the middle. More willing to go with the better idea regardless of who it comes from...you know, less bias...","jbeck5"
"Jan 9, 2024","""Let's be more moderate...more in the middle."" If anyone sounds quintessentially American, it's this quote, which has gotten the Americans media that reports on politics like a horse race, and that writes both-sides stories instead of actual criticism of either side.","Flamingo"
"Jan 9, 2024","I'm sorry, but that's the opposite of American.

American is all about us vs them.

Families literally align politically, and if not are shamed.

That's not the case here.

I couldn't disagree more with your post.

Americans will literally fight followers of the opposite group and avoid them and not befriend them.

Here, I couldn't tell you who half the people vote for, because it's not brought up in every facet of life.

So, sorry to say, but you couldn't be more wrong.

Americans don't know how to be moderate or in the middle. It's one or the other.

It's common knowledge that America is very divided so I'm surprised you're unaware.","jbeck5"
"Jan 9, 2024","I’m not arguing that Americans aren’t divided into political tribes that they wear on their sleeves and don’t listen to arguments.

I am saying that that doesn’t mean the answer is to not criticize either side. And media does just that. They don’t call trump the traitorous con-man that he’s plainly been. And they don’t cover issues about Biden or the democrats — to wit, the Israeli-Hamas-Palestine conflict has been handled with kid gloves. The only criticism of either is coming from tribes across the divide, or from within factions.

For you to tell me im only criticizing trump because of my tribal affiliation, I find that really insulting.","Flamingo"
"Jan 9, 2024","three suggestions for the PWHL

1) consider a 16 minute period, 48 minute game. This will shrink ice time and keep players fresh. That will speed the game up, and introduce less scramble. Scramble hurts the women's game, it comes off as being house league hockey. 

the success of women's soccer (Football) is in its finesse and in its peed. The game as played in England (WSL) is predicated on wingbacks and traditional wing players. That has meant head-maning (womaning) the ball. Their lack of strength, hinders the lateral passing of the ball from side line to side line. It forces the game to be played up and down.

2) reduce to 48 minutes and you reduce ice time for the 4th lines and the 3rd D pair. this will ensure that the more talented 9 F and 4 D play the bulk of teh minutes. This will elevate play and provide consistent ""star power"" on the ice

3) This will get me into trouble, but here goes.... TV announcers and colour commentator need to have DEEP voices. Soprano voices screech and are difficult to listen to. And it comes off as teenage boys or girls.

Go find women with deep voices... or use AI to alter their voice to a deep voice.

We criticize Dean and Gord, but their voices are easy to listen to.. As is Dan Shulman.. As is Joe Buck (Although he can screech sometime) as is Troy Aikman and so on. Danny Gallivan had a deep voice.

HIRE Doris Burke.. wonderful deep voice... or a Doris Burke like announcer/colour commentator","Beech"
"Jan 9, 2024","Step right up, Jennifer Hedger.","Flamingo"
"Jan 9, 2024","this is going to come off in a terrible way.. but she is a slow talker... play by play must be Ramblers.. a word a second..

She can hee and humm without a script....

Open audition, get 10-20 women to come in.. test them on a simulated game. Chose the 3 you need to cover the league.

For Colour.. bring in 10-20 ex players.. test them.. see their knowledge. hear their voice over the air..


If all else fails.. AI.... voice altering.","Beech"
"Jan 9, 2024","Would be like John Wayne calling PxP.

Girls' and women's hockey advocates have played with notions of a lighter puck to increase shot velocity. I don't imagine a shorter game would go over well. Without the speed and contact of the men's game, a smaller rink would make a bigger difference. None of these ideas would fly, though. I think the PWHL will just have be appreciated for what it is.","Flamingo"
"Jan 9, 2024","Sorry I may have misunderstood your take.

Also, I wasn't calling you anything.

I was talking about the whole conversation in general reminds me of Americans. All they talk about is Trump and Biden.

Also, I don't share your opinion that they don't call Trump or Biden out. It depends who you listen to. Corporations like CNN are always bashing Trump, and fox is always bashing Biden. 

I don't see how you don't see this. They're wayyy more aggressively attacking the opposite leader depending on which company.

I rarely see a corporation that will trash Trump and Biden...or compliment Trump and Biden. It's one or the other and it's always war!

I rarely come into discussion with an American who changes his vote based on the recent platforms released. It's always engrained that they will be voting for a specific party or leader regardless of what they're saying or doing.

Here in Canada, I take pride in coming in contact with people who can weigh the pros and cons of each political party and could easily change their vote based on what makes sense at that specific time.","jbeck5"
"Jan 9, 2024","Ah, are the ""MSM"" outlets, e.g. CNN, NYT, WP, biased? That's a lonnnng discussion. And they're not homogeneously inclined one way or the other. They're not liberal propaganda, as a Fox news-watcher would insist. And they're not unbiased. A mix of profit-motivation and misplaced journalistic integrity causes them to treat politics like a sport, to report probabilities, and not do any investigative journalism. IMHO. OK, IMO, we can drop the ""H"". They fail to call out political leaders' failures, or to challenge them on hypocricies, conflicts of interests, etc., on both sides. But that doesn't mean that both sides are ncessarily guilty of misdeeds and incompetence in equal measure.","Flamingo"
"Jan 9, 2024","I guess you may be right there.

My original statement was just of the general American attitude of everything being a political argument or fight.

Americans are very divided because you get your yeehaw cowboy conservative Texan who will never admit to the good of social programs, and then you'll have a soy boy soft hippy from California who will never admit the good of capitalism and the needs of the tough industry.

There never seems to be that reasonable middle ground where everyone gets along and can share opinions.

I just thought it was funny that a women's hockey league discussion was headed to the way of bashing or praising Trump.

Trump has literally nothing to do with this women's league.

So it reminds me of the comment sections with Americans. A company will raise the price of cereal and instead of talking about costs of goods or transportation or profits, it becomes a shit slinging contest about Trump or Biden.

Just thought it was funny that this conversation was heading that way. It's the very American way of doing something. Don't like something? ""Blame Trump"" ya know???","jbeck5"
"Jan 9, 2024","I’m not a defender of DJT, but can see the MSM spin when it’s so obvious.

And yes, spin happens both ways, no matter the news source…. They’re bias on both sides


If you read the full comment, about illegal immigrants entering illegally into the USA, bringing Fentanyl with them, that accounts for roughly 10k overdose deaths per year…. Yes that is poisoning America…and of course the MSM takes part of the comment out of context and spins it to fit their anti Trump narrative…..

maybe you’re trying to spin “blame on both sides” as being racist, but you’d have show the racial make up of both sides to make your case.


When accused of racial discrimination in the mid 70s, re apartments, DJT claimed “What we didn’t do was rent to welfare cases, white or black,"" in his 1987 book…..no charges were laid….but again this is MSM spin.

The Trumps and their company entered into a consent decree, settling the unfounded racial discrimination litigation in 1975. The agreement contained no admission of wrongdoing, but required the Trump firm to institute a series of safeguards to make sure apartments were rented without regard to race, color, religion, sex or national origin.


Biden is always playing racial politics

He said presumptive Republican nominee Mitt Romney would ""put you all back in chains"" by unshackling Wall Street.

in ""1977: Biden Said Integrating Black Students Would Turn Schools into ‘A Jungle… A Racial Jungle. I don't want my children to grow up in a jungle, a racial jungle.""

Biden famously quoted in the New York Observer, when talking about Obama “I mean, you got the first mainstream African-American who is articulate and bright and clean and a nice-looking guy. I mean, that’s a storybook, man.”… this was seen as racist at the time.


Biden, during an interview with Charlemagne tha god, said. ""I'll tell you, if you have a problem figuring out whether you're for me or for Trump, then you ain't black.""


Biden also played the racial stereotype card when he said ""And by the way, what you all know but most people don't know, unlike the African American community with notable exceptions, the Latino community is an incredibly diverse community with incredibly different attitudes about different things. You go to Florida you find a very different attitude about immigration in certain places than you do when you're in Arizona. So it's a very different, a very diverse community,"" 

Biden, who has faced criticism in the past over comments he made about working with segregationists, gave the eulogy for Senator Robert Byrd at his funeral in 2010. ""Bishop, Reverend Clergy, Mona and Marjorie, the entire Byrd family—if you didn't already know it, it's pretty clear the incredible esteem your father was held in,"" Byrd was a Known member of the KKK.

Anyways……. Enough of this rabbit hole….. and one more time, Neither Biden or Trump are fit for office, in my opinion….there are better options out there…. But the “system” seems intent to serve these two up to voters later this year…..","Tnuoc Alucard"
"Jan 9, 2024","I beg to differ.

Anyhow, yeah, back to the P-dub.","Flamingo"
"Jan 9, 2024","Take this convo to another board or get back to the women's game.

Please.","OD99"
"Jan 10, 2024","You can differ all you want…. And you will be wrong…..But some people label others when they simply are explaining, in full, both sides of an issue, it is not defending one side or the other…..the MSM take things out of context to advance their narrative against their opponent…that is their mission, to protect their guy and bash the shit out of the the other guy….. just look at how the MSM are spinning the narrative to run cover for the former President of Harvard, who has recently resigned….. to the MSM it was all about pigmentation and chromosomes… and nothing to do with not being able to denounce calls for genocide or plagiarism.

I know who I would be 100% behind, if I were a resident of the USA, and it is neither of the two presumptive front runners of either major party….the USA loses big time if either front runner is elected….both are to old, and have too much baggage that will handicap their ability to function as POTUS.","Tnuoc Alucard"
"Jan 10, 2024","In terms of the game itself, I am interested to see how the body contact/body checking rules evolve. Right now, this is officially a non-body checking league, but the truth is that they are largely letting it fly. I'm all for that - these are skilled players, and I think that saddling them with a no body checking league is kind of insulting. No surprise that the rule book is being stretched hugely on this, but that isn't viable long term - eventually they are going to have to codify what is allowed and what isn't. In the meantime, I heard Cheryl Pounder saying that she would have loved to have played in an era where this kind of physical play was allowed - why do I get the sense that Pounder would have given you an elbow to the chops without a second of hesitation? ;-)","Larionov"
"Jan 10, 2024","She also said that the kind of contact being allowed is only along the boards, and not with any big closing velocity.

You're right, the PWHL rule book has to be updated to allow the kind of contact that's been allowed. Rule 52 currently mirrors the IIHF rules for women's hockey.



It should be updated to allow checks along the boards to involve body contact. I expect they'll assess injury rates after this period of informal checking allowance.

However, women are more succeptible to concussions and recover more slowly from them. I don't think we'll see them adopt the same standard as men's hockey.","Flamingo"
"Jan 10, 2024","Players who have not spent almost 10 years playing a game with physical contact, cannot be asked to do so later on.

Women's hockey does not allow contact at any level.. So to ask 19-35 year old women to start being physical will not work well.

It will mean that they will forget about the puck and focus on hitting, or protecting from being hit.

Go watch 13 year olds in their first year of contact hockey.. the puck can be left out.. it can sit peacefully in the middle of the ice. The players are either running around looking to kill each other.. or hiding so that they don't get killed.

and sticks are either defensive weapons, or tools for bludgeoning.

This has to be handled properly. They need to work with the IIHF and see about adding physicality to the women's game for younger aged women/girl's.

the early euphoria about the physical play will be replaced by problems in a few games.. Some player, panicked in fear will use her stick as a weapon!!! And it won't be long before elbows go up and head shots.","Beech"
"Jan 10, 2024","The amount of physical contact we've seen permitted in the PWHL matches what some districts have allowed in girl's competitive hockey for the past 20 years. I.e., at tournaments in Toronto, it seemed a lot more hitting was allowed than in Ottawa. American districts all varied too.

And this type of contact is just a small level of physical engagement up from checking without body contact, but still trying to gain body position advantage on the puck or rub out on the boards, which have always been allowed.

I don't expect them to add open-ice hitting or hitting where the checker closes in on the puck carrier with a large speed differential. That's would be the kind of hitting where predatory hits can really surprise players that aren't conditioned to it.","Flamingo"
"Jan 10, 2024","If I played in that league right now, I would just keep laying the hits until the officials decide what the standard is going to be. Judging by the first game, they are going to get a lot of runway...","Larionov"
"Jan 10, 2024","hey Larionov,

what do you think it will be like when the first fight breaks out?","Beech"
"Jan 10, 2024","Given that they all wear full cages I'm not expecting much but who knows - there have been some pretty epic scuffles in women's games in Europe. Like with any other fight, penalties will be assessed and the game will continue...","Larionov"
"Jan 12, 2024","I’m assuming there is a rule that mandates a full face shield…. That is why everyone on the ice looks the same, and you can’t immediately know who the puck carrier is, or whatever….. perhaps they should allow the players to decide for themselves it they want to wear a full, half or no shield at all? Doubt any of them would ditch the full shield as they’ve all used one since they first put on skates, but some may opt for a half shield.","Tnuoc Alucard"
"Jan 12, 2024","No it is a body checking league, see the PWHA rule book.","Golden_Jet"
"Jan 13, 2024","Ottawa is playing Toronto right now. It is on CBC. Ottawa up 3-0 at the end of the first period. Lots of physicality. It would be nice to have a professional team that is actually competitive in Ottawa this year (as opposed to Senators and Redblacks).","SensCaper"
"Jan 13, 2024","4-1 after 2","mianjo"
"Jan 13, 2024","Comes into thread to read about PWHL game against TO:","NyQuil"
"Jan 13, 2024","This could be you with certain posters ignored:","StoicSensFan"
"Jan 13, 2024","5-1 win","mianjo"
"Jan 13, 2024","Plan the parade. Ottawa looks like the class of the P-Dub.","Flamingo"
"Jan 13, 2024","Ha ha, Montreal loses their home opener in overtime to a team they dominated in regulation. And that comes after a Montreal ot goal is disallowed. 

*chef’s kiss*


Please stay on topic.","Flamingo"
"Jan 13, 2024","Any way we can make Toronto hockey fans miserable is a good one","Senscore"
"Jan 14, 2024","Serves Sarah Nurse right - she turned down an offer here to sign in Toronto.","Larionov"
"Jan 14, 2024","I might start watching more PWHL, maybe the Sens needs to watch the women play, they might learn a thing or two Lol","albator71"
"Jan 15, 2024","I'm impressed by this team. They have dominated the play thoroughly in the first two games with three good scoring lines - and Jenner hasn't really gotten going yet. Really like the Watts/Shiga 3rd line. Watts has a fantastic snapshot, she will score many this year with that release. Having her on the 3rd line reminds me of Havlat being on the 3rd line 20 years ago, or Kessel in Pittsburgh's Cup runs.

I think a lot of male fans will be impressed with how physical the game is. There have been some big hits in the few games I've seen and there is a lot of good grinding along the walls. Definitely different to international women's hockey, which is what most people will only have seen (myself included).

I really like that they built this team with some international flavour. Two from Czechia, one from Japan, Hungary, Germany. For reference Toronto doesn't have anyone outside North America. There's a European market to tap into, so hopefully the trend continues.","Karl Prime"
"Jan 17, 2024","Ottawa playing Minnesota right now. 10 minutes in and Ottawa is leading 1-0. Make that 2-0 - they just scored on a power-play. I thought Ottawa was clearly the better team when they played Montreal and Toronto. Despite the score, Minnesota looks like they are as good as Ottawa.
Of course TSN decided to cover the Toronto - Boston game. So you have to get this game by streaming on TSN+.","SensCaper"
"Jan 17, 2024","I couldn’t find it on TSN+ but it’s on YouTube","Butchy Dakkar"
"Jan 17, 2024","Minnesota wins in overtime (3-2) on a shot that deflects off a defenders stick. Tough loss.","SensCaper"
"Jan 18, 2024","Ottawa looked pretty even with Minny, and was the better team in the 3rd. Not bad, Minny's at the top of the standings. And don't forget, Ottawa has games in hand because of the Boston game rescheduling, and has lost two it should have won. Wait, which Ottawa team am I talking about?","Flamingo"
"Jan 18, 2024","Two OT losses for points, tight games, can’t be the Senators!","Butchy Dakkar"
"Jan 18, 2024","Man is there one Ottawa team that can hold a lead ffs?","dpw"
"Jan 18, 2024","Serously, though, Ottawa looks like the class of the PW.

So maybe my perpetual frustration at the sports gods' caprice is really just my preternatural homer bias.

But really, Ottawa looks sooo good at 5-on-5.","Flamingo"
"Jan 18, 2024","cynic","Beech"
"Jan 18, 2024","hey Flame,

1) what is the agreement on the arena? Are they simply renters? or is there a business arrangement that involves ownership?

the reason I ask is: seeing the 67's logo at center ice is poor... It should be PWHL or Ottawa PWHL.. Is there a chance that their logo gets added in a prominent way..

2) how much do you think it costs to remove and reapply ice?

I keep wondering if the PWHL should pay to have new ice put in, with their logo added.. so you leave the 67's and all the other 5 arena logos, but add yours somewhere prominent

3) they need to hit the government up for some cash and re-paint the boards.. puck marks make it look like ""junior hockey"".. They need to re-paint once a month... so, they would need 6 or more copies of each stick on advertising and the staff and the special paint.. it would cost a few bucks.

Presentation is everything.... It is the one area that I think Gary Bettman beats all Commissioners in.. He know how to present.","Beech"
"Jan 18, 2024","Beech, I don't know anything about the bizzznezzzz side of the team. I agree, they should play on an ice surface with their crest under center ice. They don't have a crest yet, and this season was started as a rush. I hope they get that all sorted for next season.

And clean boards? I think advertisers will take care of that. Whether they're painted on, or added by the broadcast, they'd want a clean palette. Hopefully the Alerts and 67s, being two tenants of the same facility, raise the profile and condition of TD Place arena.","Flamingo"
"Jan 23, 2024","First home win! Somehow outshot by Toronto, who must have made some adjustments after looking terribly uncoordinated their first few games. I only caught a minute here and a minute there, will have to watch the highlights.","Flamingo"
"Jan 24, 2024","PWHL are just tenants in that building, whereas the 67's are owned by the group (OSEG) that manages the building. Zero chance that they are getting their logo at centre ice, unfortunately. You literally have to melt the ice to apply and reapply those logos, and painting them is a very painstaking process.","Larionov"
"Jan 24, 2024","Can anyone actually use their site? I have tried multiple time to look for jersey and cant get anywhere.","Qward"
"Jan 24, 2024","Boston wins 3-2, scoring with 2 minutes to go. Only watched the third period, but thought Ottawa was the better team (more scoring chances).","SensCaper"
"Jan 25, 2024","We sucked in the first, had a great second and a good third. Shit turnover right at the end, you got to be playing up the boards in the last minute or so, no high-risk passing through the center of the ice in your zone.

Ottawa is a good team, and they don't really have anything in the way of star power either, so we can hopefully stay consistent as we don't rely on any one player or line.","caymanmew"
"Jan 25, 2024","Surprised they put Harmon right back out there after the turnover.","Bileur"
"Jan 26, 2024","God, that was an awful turnover. Looked like the kind of pass guys try to make in our oldtimers league. I think I get why it happened, though - there is a renewed emphasis in hockey now on making skilled plays and in not just banging it off the glass and out. In the NHL, of course, coaches are going to drill players hard on always making the safe play, but at any level that isn't the NHL, men or women, it doesn't surprise me that someone didn't give a second thought to making a high risk play late in a tie game. Hey, if it works, they are off to the races with numbers, and maybe score the winner themselves...","Larionov"
"Jan 26, 2024","trade proposal
2024 first round pick for Renata Fast from Toronto
she is 29, so has 3 more good years. A right handed Dwomen and speed to burn. It will give the team 3 righties

Sadly, age (33) and giving birth, may have finished Natalie Spooner.. She looks lumbering out there. This league is 3-4 years too late for her..","Beech"
"Jan 27, 2024","Toronto is in an odd spot, they suck yet built an old team. Picking Larocque second overall instead of taking Muller, and having their 3 starting free agents all be 29/30 yet not producing is a major problem.

Spooner, despite her age, is probably their best player. At least she is the one I notice as most threatening when we play against them.

I'd do the trade, but I don't think Toronto will accept trying to rebuild given the overall age of the team they have. More likely they just accept this as a bad year, get the first pick for Fillier (I think she is in the next draft?) and hope that fixes their problems.","caymanmew"
"Jan 27, 2024","the Ottawa team needs to balance their right/left D (I wonder were we heard that before!!!!) teams will catch on and attack our right side.

Toronto is the only team with 4 righties. All the other (less Ottawa) have only 3. Unreal, the whole damn league has exactly 18 righties...

Is that Cayla Barnes worth a chance? She is 5' 2"" and 25 years old, but a right handed D. Should be up for the draft this offseason. Granted, there could be a feeding frenzy.","Beech"
"Jan 27, 2024","Deserved to win again against Montreal. Outshot them 2-1, most of the difference coming in the 3rd period. Lost in overtime 2-1.","SensCaper"
"Jan 28, 2024","Cool to see some of the ladies at the Sens skills competition today.","NyQuil"
"Feb 1, 2024","Maschmeyer
Jenner
Clark
Harmon

At the All Star Game. Go get em","Beech"
"Feb 4, 2024","So much in common with the Sens. Just can't win when it matters.","Senscore"
"Feb 4, 2024","3-0 lead with just over 5 mins to go, give up 3 goals in last 5 mins and then lose it in OT 4-3","mianjo"
"Feb 5, 2024","","Tnuoc Alucard"
"Feb 5, 2024","What are you trying to show here? They are one regulation win out of tied for the league’s most. They lost 4 games in OT and their only regulation loss in the last 52 seconds. It’s 7 games. Two games in hand over most teams and 3 points for a win. 

You don’t strike me as someone who watches.. well any hockey.. but most definitely not this hockey, but it’s pretty clear they are better than NY, Toronto and possibly Boston. They’ll be fine.","Snowwy"
"Feb 5, 2024","3 points for a regulation win really creates a gap in pts when teams haven't played the same number of games, if we win our two games in hand (in regulation) we're 1 pt back from 1st in the league.",""
"Feb 5, 2024","the current standings….","Tnuoc Alucard"
"Feb 5, 2024","Ottawa typical","RickyLafleur"
