"username--style37","u-dt","bbWrapper"
"conFABulator","Monday at 10:06 PM","I posted on this topic on another board. It was only July 9. Not too much has changed since then and I don't think Laine changes things too much. Here's what I wrote:

Florida. They got worse. No doubt about this one, right? Replacing Montour and OEL with Schmidt and Boqvist is a hit. They lost Tarasenko and goaltending took a hit with Stolarz leaving and Bob aging. SC hangover? 110 points last year. Did they lose 10 points in the standings? Under/over 100 points.

Boston. They seemed from have improved with Lindholm and Zadorov. Though Debrusk will be missed and many believe Zadorov is a third paring guy, an improvement over Grzelcyk but how much? Ullmark got them 51 points last year, maybe Swayman plays a bit more and Korpisalo is a decent back up. It's hard to see Boston improving on 109 points. Perhaps a slight step back with some aging parts? Under/over 105 points.

Toronto. They were the second highest scoring team in the league last year and only lost Bertuzzi and his 21 goals up front. They appear stronger on D with Tanev, OEL and Haakanpaa replacing Brodie, Klingberg and Giordano. Goaltending was a disaster last year, so they look to have improved there. New coach too. Tavares is a year older but some youth injected last year could offset any decline in production. A slight improvement on last year's 102 points with an under/over of 104 points.

Tampa. This seems like a crumbling empire being held together by duct tape. Stamkos and Sergachev for Guentzel and McDonough seems like a wash at best, possibly a step down. They lost a bit of depth and their core is aging and showing it. Another slight step back seems likely from their 98 points last year. Under/over 94 points.

Detroit. They didn't make many big moves and seemed to replace the guys they lost. It's hard to say that Cam Talbot is the reason they will be better, or even Tarasenko based on the impact we saw him not have on Ottawa. Young players continuing to improve might the reason we see a slight increase on their 91 points from last year. Under/over 94 points.

Buffalo. Much like Detroit, no real big additions or losses. It's hard to imagine Aube-Kubel or Lafferty moving the dial here. Health and continued development of the young guys could bring some improvement in the points and possibly standings. Even a sizable improvement on their 84 points from last year may not move them up the standings. Under/over 90 points.

Ottawa. They could be the most improved team in the division...and still not very good. They improved with Ullmark, Jensen, Perron, and Amadio in and really only Chychrun out. If Ullmark is very good and young core players continue to develop they could see a jump from their 78 points last year...to an under/over of 88. Trending in the right direction, but not enough

Montreal. They didn't add enough and can't expect seismic gains from too many of their young guys. They have some aging vets too. No real reason to forecast improvment and with others improving they have to get points from some where; a slight regression on last year's 76 points with an under/over of 74.

So, based on the above...

Boston 105
Toronto 104
Florida 100
Detroit 94
Tampa 94
Buffalo 90
Ottawa 88
Montreal 74

...did I miss the mark on any team in particular? Why?"
"conFABulator","Monday at 10:10 PM","I posted a lengthy post at the same time you posted this. I see Ottawa a bit differently than you do. I called them the most improved team in the division, I am not hating on them. I just think a 10-point improvement is a big jump. Ullmark is a great add, but I don't think you can take his Bruins numbers and project 14 more points for Ottawa. Ottawa's defensive game is not equal to Boston's.

A ten point jump still has them missing the playoffs in my projections."
"Evilhomer","Monday at 10:18 PM","Other than switching Toronto and Boston, and I think the spread between them will be 7 or 8 points, I agree with this."
"conFABulator","Monday at 10:36 PM","You might be right, I have underestimated Boston like 4 years in a row. I need to see them fall back before I believe they will I guess."
"Americanadian","Monday at 10:38 PM","Is 7 more wins over 50+ starts that unrealistic? Korpisalo was 21-26-4 last year. As far as the projections - I'm looking at goals saved above expected which factors in shot location. It's not a perfect indicator of defensive performance but it's much more accurate than just reading across save percentage.

As overall standings go I currently have:



That is not factoring in any mid-season trades. Cap space is based on 20 man starting lineups.


As far as Boston goes - the same model I am using for this season had them winning the presidents trophy in 22-23 and winning the Atlantic last year. This is the first year my model has them missing the playoffs."
"ThrowDemTongs","Monday at 11:22 PM","Who's winning the division?"
"BobClarkesfrontteeth","Yesterday at 12:23 AM","I definately agree with about 90% of your projections in your model. Point totals are low for some teams but placement is pretty pretty bang on. For the Atlantic I switched Ottawa and Buffalo. I just think Buffalo will not make the critical mistakes they made last year with thier goaltending. After January they were the 3rd best defensive team in the league. Ottawa is shockingly thin on depth with all the top end talent they have while also being a very light team after you get past Brady. It is a bad combo.
For everyone thinking Boston got better with Lindhom he had his lowest point total since 2017-2018. He had 3 straight years of decline in production while seeing 1st line minutes. Yet people on HF want Tavares moved to the wing or to the 3rd line while calling Lindholm a 1st line center. Funny thing perspective."
"conFABulator","Yesterday at 7:18 AM","Thanks,

I think you are projecting an increase of more than seven wins for Ottawa, no? I know you are saying seven in Ullmark's 40 games, which is a lot by the way, plus four or five more. I don't see that jump happening."
"crump","Yesterday at 7:37 AM","My best Amazing Kreskin thought. One or two of the traditional Atlantic bottom feeders is going to make a move into the playoffs. Ottawa or Buffalo. It will be tight, like “2 playoff spots for 4 east conference teams tight” in the last 2 games of the regular season. One or two of those spots will be Atlantic teams pushing for playoffs. I means Some team is going to have a disastrous season with over 90 points.


Gosh I hope Woll is healthy this season."
"Americanadian","Yesterday at 7:56 AM","7 wins over 50-55 starts, not 40.

I have them jumping up 23 points. The additional jump is from internal improvement. Can Stutzle return to a 40 goal player? How many additional points is Pinto worth over a full season? Can a healthy Chabot and Norris give them a few more points?"
"conFABulator","Yesterday at 8:00 AM","Sorry that was a typo. I meant 50, it is still a lot of additional wins. Everything in your post needs to break right.

Ullmark needs to healthy and very good. Stutzle needs a bounceback, Pinto needs to grow, Chabot needs to be something he hasn't been in a few years, Norris needs to be healthy and good.

Every team in the league would be better if everything broke their way. Why will it happen for Ottawa? You have them 15 points ahead of Tampa this year? It seems like a stretch."
"Dekes For Days","Yesterday at 8:05 AM","Everybody's objective is to become a cup winning team. Only one does it each year, and the path there can vary pretty drastically. The post isn't about that though. It's about the competition we've had to win the division. We won our division in 2021, and our 2022 season would have been President's trophy winning in 5 years of the cap era, but we had some of the best President's Trophy winners through the cap era in our division in 2019, 2020, 2022, and 2023.

The odds makers are fine. The issue is emotion on this board leading to incorrect conclusions."
"Americanadian","Yesterday at 8:20 AM","We’ll have to revisit this at the end of the season. I’m not projecting injuries for any team. It’s impossible to project.

As far as Tampa goes - they are heavily weighed downwards by having the worst goalie in the league as their back up. If they got a league average goalie they would be a 92 point team. Their bottom 6 is also starved for offense and they’ll struggle to win their minutes."
"Torontonian","Yesterday at 8:51 AM","Seems like it's going to be status quo for the top 4 teams. Where they finish could be a little different. Ottawa/DET/Buffalo I can see sniffing around one of the two wildcard spots. The biggest problem with the 3 I mentioned is every year they go on a a big losing skid or a few 5 game losing skids and can't stop the bleeding. 

The goal for Toronto should be to win the Atlantic, or the very least become 2nd and have home ice advantage. Berube focus should be getting the team to buy into a system that translates into the playoffs, and get Toronto's focus on point and stop pissing away games that cost them the division."
"conFABulator","Yesterday at 11:27 AM","Yep, we do have to wait and see and I am interested in your projection modeling. The back up goalie factor is interesting. 

This might be another reason why I don't see Ottawa making that big of a jump. A lot on Ullmark...staying healthy, playing a lot and continuing his level of play. They do not have a strong back up in Ottawa either and if he has to play 30+ games that is a factor as well."
"Americanadian","Yesterday at 11:37 AM","Forsberg is actually a very good back up. He was poor last year but his prior history in Ottawa is very strong. He had 33.6 goals saved above expected in 82 games (0.45 GSAA/60) for Ottawa from 2021 to 2023. Last year he had -5.9 GSAA in 30 games (-0.23 GSAA/60). If they can get something in the middle of 0.45 and -0.23 GSAA/60 that will be a position of strength for them."
"conFABulator","Yesterday at 11:40 AM","It is another ""if"" on the Ottawa ledger. I really don't want to come across as a Sens hater, though I am not a fan. I have them as a very improved team. I don't see a jump of 25 points in the standings, even just based on how tough the schedule and competition is. That's 12 or 13 more wins. 

I don't see it."
"Americanadian","Yesterday at 11:46 AM","We'll check back in 7 months.

Again - I'm assuming health for all teams."
"Racer88","Yesterday at 4:27 PM","I’m not so sure it’s emotions as much as it’s historical evidence the last 7-8 years that this core can’t get it done and you cannot build a cup contender when 4 core forwards consume over 50% of the cap.
So until someone builds a team like that and it wins we are correct and everything else is just wishful thinking or overly optimistic thinking


As far as the first response…….saying we would have won if there wasn’t better teams in our division is crazy.
Is that what you are really saying because I think all teams would be winners if they didn’t have to play better teams.
To be the best you have to beat the best……..competition 101"
"Sypher04","Yesterday at 5:13 PM","It’d be strange to see Carolina win the presidents trophy, especially by this large of a margin, after the tire fire of an offseason they just had."
"Evilhomer","Yesterday at 5:38 PM","I think Carolina will drop to third place in the Metro behind the Rangers and Devils."
"","Yesterday at 6:44 PM","Also if the Sens are looking like there's a reasonable chance they may miss the postseason and Ullmark remains reluctant to extend, we could easily see him moved before the tdl.

Imo they're heading back to the bottom half of the league yet again"
"Frostitute","Yesterday at 7:17 PM","Is this to make the playoffs?! If so it can't hurt to throw a bill on MTL. I wont miss it if they dont and woohoo if they do.


I wonder id you can just do a bet against the Leafs. Then either way I'd win."
"ThrowDemTongs","Yesterday at 7:40 PM","How is Boston a +450 to win the division? I don't get these odds. They've got them tied with TB. With us ahead by a bit and Florida ahead by a century


This is so strange to me"
"weems","Yesterday at 7:51 PM","Its the betting odds to win the division.

Vegas sets an innittial line, that will change throughout the season based on the money being bet on each."
"Dayjobdave","Today at 7:24 AM","The Atlantic looks like it will be really competitive this year which makes for a fun season. 

I hope the team is relatively healthy and they adapt to Berube out if the gate."
