"username--style37","u-dt","bbWrapper"
"End on a Hinote","Sep 1, 2023","I think he'll surprise a lot, but just narrowly miss 50. 

I say 47."
"Galaxydoggystyle","Sep 1, 2023","55 goals for the great one"
"Despote","Sep 1, 2023","I think he can put in 35 pucks."
"Toby91ca","Sep 1, 2023","Gretzky is 62 years old.....I don't think he's coming out of retirement."
"42","Sep 1, 2023","42"
"KirkAlbuquerque","Sep 1, 2023","39"
"Video Nasty","Sep 1, 2023","If he plays 80+ games, I can see him hitting 50 on the nose once more."
"Galaxydoggystyle","Sep 1, 2023","lol whoops but yea I think Ovy has one more great season and hits 55 goals."
"ClasslessGuy","Sep 1, 2023","39"
"Stealth1616","Sep 1, 2023","For about the 8th season in a row I’d gotta think he’s going to decline a bit but the guy keeps surprising"
"","Sep 1, 2023","41 goals."
"Nogatco Rd","Sep 1, 2023","34"
"Cursed Lemon","Sep 1, 2023","35

Same as my PIN number"
"Metroid","Sep 1, 2023","I'd be ok with like 10/15."
"HTFN","Sep 1, 2023","This is such an easy thing to say to discredit the guy and team but nobody has ever been able to say .

What moves have they made or not made so that Ovechkin can score  but also the hockey team gets ? Who is Ovechkin getting in the way of, exactly, so that he can score more?"
"The90","Sep 1, 2023","41"
"Maurice of Orange","Sep 1, 2023","14 goals before Ovechkin is lost for the season with a knee injury."
"","Sep 1, 2023","52 goal pace but will miss a few games so around 46 goals"
"GrumpyKoala","Sep 1, 2023","34 goals"
"Alexander the Gr8","Sep 1, 2023","I’m gonna go with 45 as an optimistic prediction. My actual expectations are 35-40 goals.

He still smashes Gretzky’s record next year."
"joestevens29","Sep 1, 2023","68"
"Planetov","Sep 1, 2023","The bolded so much. I’ve read far too many hot takes on these boards that confuse Ovie being his team’s best offensive option with the team “trying to get Ovie the record”.

“Getting looks like crazy.” No shit."
"VanillaCoke","Sep 1, 2023","Forty eight"
"","Sep 1, 2023","Interesting that only 37 is the highest at his age.

I think he's got a pretty good shot at beating that.

Just another notch on the belt to show how impressive he is."
"The Panther","Sep 1, 2023","As was noted, Gordie Howe scored 44 goals at age 40, but that was mainly due to mass expansion shortly before. Still very impressive, though. 

The Caps' 20th-place finish in offense last season was their lowest placing since 2006 (though 2011 was close, at 19th). I don't follow the Caps enough to know how good / bad they are, but I think if they're depending on Dylan Strome to be their top center, then they're in for a tough season offensively. And a team struggling to win gets few empty-net opportunities (for Ovi to score).

Still, there's the PP. The Caps maintained a more-or-less League-average PP last season, so if they can do that again, Ovi will get his goals. If he can manage around 14-15 PP goals next season, then even a decline at ES from, say, 28 to 20, would still give him about 35 goals on the season. 

I say, around 35."
"blundluntman","Sep 1, 2023","I’m expecting around 40"
"ReimanSum1908","Sep 1, 2023","I hope that he cracks 40 and sets a new record, because if anyone in the league's history deserves it, Ovy is the man.


I've heard Ovy going by ""the great eight"" which I always held to be a ridiculous and forced nickname, but that was probably in the back of your mind."
"Sempiternal","Sep 1, 2023","41"
"Garbageyuk","Sep 1, 2023","~40 give or take 2 or 3."
"Jeune Poulet","Sep 1, 2023","31.

His time as a 50-goal scorer is definitely over, IMO. And I doubt he will even hit 40 in a season ever again. 

But hitting more than 30 this season is very much within reach and would still be a remarkable achievement at his age, especially considering the roster surrouding him."
"GordonGraham","Sep 1, 2023","Team will be struggling and selling at the deadline so ill go 30"
"Toby91ca","Sep 2, 2023","I’m not sure about the team struggling for wins getting empty opportunities. There is a fair amount of parity in the league, even the bad teams aren’t horrible. The best teams likely won’t have as many opportunities because they’ll be winning by enough not to have the other team pull the goalie. For a team that struggles for wins, you’d think every win is going to be a 1 goal win. I mean…he had a ton of empty net goals last year and they weren’t good"
"PaulD","Sep 2, 2023","34"
"KoozNetsOff 92","Sep 2, 2023","50."
"JFedol","Sep 2, 2023","55, Gets fed a boat load of passes from teammates, trying to rush his goal-scoring record."
"BallardEra","Sep 2, 2023","No way can I see him scoring 55 goals next season."
"MessierII","Sep 2, 2023","I’d be surprised if he didn’t score 40"
"dukeofjive","Sep 2, 2023","Between 38 to 44"
"abo9","Sep 2, 2023","I say he rebounds in typical ovechkin fashion and scores 45-50 goals

As optimistic as I am I dont thinj he comepetes for the Rocket, but it would also not be a shock if he did"
"Oddbob","Sep 2, 2023","What do you mean rebound? He had 42 just last season. Scoring a few more wouldn't be rebounding at all."
"authentic","Sep 2, 2023","Probably 40 something."
"Klargplutte","Sep 3, 2023","These Ovie threads always leads to one thing, he burns the doubters by roaring back. Healthy Bäckström and Kuzy with a bounce back year will help him past 50+ goals."
"","Sep 3, 2023","36 goals"
"vippe","Sep 3, 2023","If the Caps are a healthy team this year which they werent last year, they make the playoffs and that alone should be an additional motivator outside of the goal record.

I think he has another 40+ goal season in him."
"centipede2233","Sep 3, 2023","42 goals, is my guess"
"BackToTheBrierePatch","Sep 3, 2023","I am going to be bold and say somewhere between 1 and 90"
"wetcoast","Sep 3, 2023","There was also a huge difference in usage and philosophy for Hull and the Red Wings as Hull was on the ice for 40 of Detroit's 76 PPG.


Washington has had a predictable and middle of the pack PP the last 2 years at some point they will realize that they need better distribution.


Detroit was a similarly older team but way better constructed but ran into a hot goalie in the first round."
"WarriorofTime","Sep 3, 2023","Better distribution how?"
"HFpapi","Sep 3, 2023","I think the drop off is going to come, I say 35. 

That said, if he scores 50 this year I can't even be surprised, this is just what he does."
"WillardJFredricks","Sep 3, 2023","I'll say low end (assuming no injuries) 35. High end: 45. I'll say 42 though."
"McJedi","Sep 3, 2023","37"
"Fantomas","Sep 7, 2023","wetcoast heard some analytics guys talk on the radio once so he knows better than you"
"SeanMoneyHands","Sep 7, 2023","45-50. I'd expect Backstrom to be his center for the entire year, Kuznetsov likely traded by the end of 2023 at the latest."
"BallardEra","Sep 7, 2023","Backstrom looked finished last year. I'd be shocked if he actually rebounded to the Backstrom you're thinking of."
"SeanMoneyHands","Sep 7, 2023","Injuries are catching up to Nik. Still a solid player but Ovy may benefit more with a younger center with faster legs."
"BallardEra","Sep 7, 2023","Him and Strome have clicked pretty well. Maybe Kuznetsov plays with some hunger this year in hopes that he increases his trade value."
"SeanMoneyHands","Sep 7, 2023","Kuznetsov asked for a trade last year. He doesn't want to be there, I would trade him to Nashville, there's the Trotz and Kuznetsov connection.

Strome is a decent center for Ovy, too bad they can't sign someone like Pat Kane to play with Ovy."
"HTFN","Sep 7, 2023","Laviolette was a huge part of that, even though nobody seems to really talk about it. Kuznetsov isn't the only player that lost all the life left in him playing miserable hockey last year, but Kuznetsov especially needs to  some fun to get to that place where he's dominant and boy did the Caps' system just bleed it out of him...

Do I predict anything too positive? Nah, not really, but I don't think it would be a surprise if parts of that wound can be healed by a younger pace-driven coach. At any rate, his options to be traded are basically ""play well enough for someone to want you"" and... well, I don't think there is a second option."
"","Sep 7, 2023","Capitals are terrible with Backstrom and Kuzhetsov being shells of themselves, Ovie can still score some left circle bombs on PP, but I don’t see serious offensive support for him on the current Caps team"
"Sheppy","Sep 7, 2023","38 goals."
"BallardEra","Aug 19, 2024","DING! DING! DING!"
"TheDawnOfANewTage","Aug 19, 2024","How do you feel about the stock market? Any predictions on any big upcoming competitions?"
"canuckslover10","Aug 19, 2024","50"
"wetcoast","Aug 19, 2024","Looks like the second post kind of called it as well eh."
"PaulD","Aug 20, 2024","22"
"Silky Johnson","Aug 20, 2024","6 goals then contracts Necrotizing fasciitis of the scrotum. Thus proving there are hockey gods."
"The Panther","Aug 20, 2024","I predicted 35 last year. He got 31. 

This year... eh, I'll say 25. But, as ever, a lot depends on team context. If young guys suddenly emerge and the club seems in competition for a playoff spot, Ovechkin might not get two minutes on all the power-plays. But if the club is sort of out of contention early, then I'll say 25."
"JoeCool16","Aug 20, 2024","Dude"
"wetcoast","Aug 20, 2024","Man was that really called for...I looked it up and now I'm going to have nightmares.

To others don't look it up."
"The Panther","Aug 20, 2024",""
"LevelingSolo","Aug 20, 2024","Wouldn't really shock me if he hit's 40 

The fact that he finished with 31 after having like 8 goals at the ASB is pure madness"
"Alexander the Gr8","Aug 21, 2024","I’ll say 34, which would put him exactly 8 goals away from breaking the record in his final season."
"Pass the Saitl Sauce","Aug 21, 2024","I wasn’t going to until I read this message and now regret it. 

21. 21 goal for ovi this year"
"DingerMcSlapshot","Aug 21, 2024","43"
"TheDawnOfANewTage","Aug 21, 2024","Did he pee in your cheerios or something, to wish such horrors upon a man? Seriously Palahniuk, bit much.

I’m gonna say 37. He was hurt last year (age), this one will be better."
"Nemesis Prime","Aug 21, 2024","37"
