"username--style37","u-dt","bbWrapper"
"FlameChampion","Wednesday at 11:05 PM","Delete"
"K1984","Wednesday at 11:09 PM","For years across multiple groups of players and multiple coaches our depth players have been complete ass until about January. Every year Leon and McDavid light it up and the power play lights it up until they get burned out in December and the team goes to shit. Then the bottom of the lineup gets going and the ship rights itself. 

Difference was last year the power play and McDavid/Drai were ass to resulting in the disaster start. The key beyond all else IMO is the bottom of the roster players playing a role as soon as the season starts, not when they get chastised and the team is desperate."
"FlameChampion","Wednesday at 11:14 PM","Agreed that the bottom 6 doesn’t tend to have anything going until January. Hopefully not the case this year. If Henrique/Brown/Janmark are as good as they were in the playoffs, I’d like to see the line used as a checking line and used in some defensive and open net situations at end of the game just to get more guys going."
"Slats432","Wednesday at 3:46 PM","Correction..."
"Mr Kot","Yesterday at 11:34 AM","tomorrow is the first day!"
"bobbythebrain","Yesterday at 11:43 AM","Fire Knobby and Bowman. Their decisions are inexcusable!!

Daryl Katz needs to answer for this!!

The refs are instructed to screw us!!

Bettman doesn't want Edmonton to win!!

It's Carol Baskins fault!!"
"Fixed to Ruin","Yesterday at 11:50 AM",""
"BlackDogg","Yesterday at 11:57 AM","Why are we still playing these rookies? Practice time is wasting!! Preseason is almost over Damnit.

Bring in Jay Woodford."
"MessierII","Yesterday at 12:13 PM","There won’t be as much pressure on the bottom 6 to produce because the top 6 is absurdly stacked even without Kane."
"Lay Z Boy GM","Yesterday at 1:02 PM","I’m very pumped over here guys. Preseason is whatever. Nuge said the vets sweet spot is 3-4 games. I agree, don’t work them too much. I’d prefer the last couple games to basically be the full roster and a few hopefuls maybe get a chance in those games to prove themselves.

This is basically warmup for the elite players and a possible audition for the 4th line and RD.

I’m going to the last game so hopefully it’s 90% of the full roster and we absolutely trash the Nucks."
"Oildrum","Yesterday at 1:07 PM","Sunday is a must win, if they lose I'm out for the rest of the season and just shows how much of a terrible decision hiring Bowman was."
"Oilslick941611","Yesterday at 1:10 PM","just shows that regular seasons purpose to make the playoffs. we lost to the Canucks but beat them in the playoffs. We shouldn't be throwing too much weight on winning the regular season. Goal is the cup, goal for the season to make the playoffs comfortable and with our division that shouldn't be an issue."
"Senor Catface","Yesterday at 1:13 PM","I think we should, without irony, forbid Spawn from starting a ""Fire Bowman"" topic at any point this season."
"Lay Z Boy GM","Yesterday at 4:20 PM","LETS GO OILERS"
"brentashton","Yesterday at 7:14 PM","Why stop there?"
"rboomercat90","Yesterday at 8:32 PM","And Cloned from starting a fire Knoblach thread."
"tardigrade81","Today at 9:49 AM","Hey!! Hockey is back today

Neat"
"esks123","Today at 9:54 AM","Does anyone know if you have to watch the preseason game ""live"" on Oilers+, or do they keep the full preseason games on demand to watch later?"
"","48 minutes ago","Winnipeg has a live stream of you don’t have Oilers +"
"McAsuno","46 minutes ago","Gonna be there live today for the first preseason game. Hockey is back baby!"
