"username--style37","u-dt","bbWrapper"
"","Aug 2, 2024","Things have gone pretty dead here. Bombers thread has more activity than all the Jets threads combined. 

There were a few things that were expected to have happened by now, that should have happened by now, that have not.

McGroarty (and/or his camp) seem to have poisoned the well, preventing a trade from happening. The only things Chevy could do about that are to sell for pennies on the dollar or to wait. No surprise, he is waiting. It could be a long wait. Really nothing left for us to discuss there until something happens.

No such thing affecting Ehlers. Is he still quietly being shopped? Is he going to be extended? Is he going to be used as an own rental? Good questions but, again, not much more to be discussed there until something happens, or a good new rumour pops up.

There have been a few roster moves. What has gone is better than what has been added, IMO. The Jets were overachievers last regular season, again IMO. The rest of the Central has gotten better, at least on paper. Add up those factors and Jets could fall a long way next season. A single key injury could have them out of the PO. With just avg luck all around, I see them 4th in the Div next year.

Jets still have holes at RD, top 6C and possibly 3rd pair D. They lack really high end players. They have some good prospects that could come in and be effective filling those holes, either this season or next. Maybe. But they will still lack really high end or elite players.

I think Jets need a trade or two to address some of their issues. Not likely to get any elite level players in trade unless they get a near ready prospect who eventually develops to that level. Even prospects with that potential are hard to acquire by trade but just maybe possible.

McGroarty and Ehlers are presumably still available but haven't produced a move yet. I'm wondering if we could add trade chips and make something happen? I don't mean lesser pieces like Stanley or Iafallo or Pionk who have been mentioned. They would already be available as adds for the right return. Lets say we add Perfetti and Connor as possible trade chips. Would that give us enough to spring something loose?

Obviously any trade scenario would need to consider replacing whoever we part with. But we have some near ready replacements in the system. Integrating more than 1 or 2 of them would equal a youth movement and maybe a step back for a year. But what is the problem with that if the alternative, running it back, also means a step back? And then there would be the return package.

I'm not proposing anything specific here. I'm looking at the subject of this thread and not being thrilled by the prospect of subtracting a couple of key players and otherwise going into the season with the same group that was so clearly not good enough in the PO. I'm soliciting ideas."
"trebendan","Aug 2, 2024","Are you volunteering to do the prospect polls, Mort?"
"","Aug 2, 2024","Ha! No, that's not where I was going."
"raideralex99","Aug 2, 2024","Nothing to discuss that has not been discussed 10X over.
Take a holiday for the month of August ... Chevy does his major signings in September anyways."
"Whileee","Aug 2, 2024","A quick and limited summary of the roster strength going into the upcoming season, based on xGAR/60 for players expected to make up season roster.

The roster looks stronger than going into 2022/23, but doesn't have as much strength at the top as the 2023/24 roster (with much of that driven by Nino and Vilardi, who are still on the roster but had lesser seasons last year).

Overall, the median is higher than going into last season, with the average being a bit lower. A lot will be determined by how well Perfetti, Vilardi and the 3rd D pair perform. Also, Pionk needs to be a lot better next season."
"Stumbledore","Aug 2, 2024",""
"KingBogo","Aug 2, 2024","Now that we are in August we will be in a dead zone for awhile. Action will pick up as camps get close to opening in September. I guess we can restart the Ehlers Vs Connor debate for shits and giggles."
"Buffdog","Aug 2, 2024","I didn't realize there was a debate

Connor is a soft, one dimensional scorer who doesn't play defense

Ehlers is the best player ever

I thought we had come to a consensus on that by now"
"voyageur","Aug 2, 2024","It really seems like the Jets aren't going to make any more moves...Signing Perfetti is the last piece of the puzzle...

If you go by one way contracts the Jets are likely not giving a spot to Lambert out of camp. Namestnikov would be the likely 2C to start, though it is possible that Perfetti gets that gig. With a new coach, who seems to have more confidence in him. That could alter lines a little. Gus and Kupari seem to be the guys battling for 4th line vs. PB. 

8 defensemen seems probable, with one of Fleury or Coughlan winning the final spot...Maybe both get send down if a forward wins a spot in TC.

I'm going to say that Perfetti bridges at about $3.25 million AAV, and if my math is any good you subtract Comrie, AJF, JAD off the Puck Pedia roster, add Heinola, Fleury/Coughlan, Perfetti, and the remaining cap space is about $3.25 million...that seems to be the comfort zone Chevy likes to operate in other than the one year the Jets spent to the Cap, had to waive Nash since they wouldn't waive Beaulieu, to call up Berdin with Hellebuyck out short term, and missed the playoffs with little room to manoeuver..last couple of years Jets haven't LTIR'd anyone when injured, just used the extra Cap space to bring up multiple players, and still have Cap space for deadline deals."
"Whileee","Aug 2, 2024","If the Jets pay Perfetti about 3.3M on a bridge and run a 22 player roster (13F 7D 2G) they will have about 4M in cap space to begin the season."
"voyageur","Aug 2, 2024","Ok my math is ballpark then, because I just added $25 000 swapping Heinola and Fleury for AJF and JAD and subtracted Comrie ($825 000), which would give Chevy $6,601,309 to work with, and Perfetti as the only signing to come."
"","Aug 3, 2024","WARNING: TLDR Thunder storm at the lake this morning post.


New seasons are a bit of a crap shoot.

I was listening to NHL network on XM season ending GM report Cards yesterday and Boomer Gordon gave Chevy and A grade. It was nice to hear an outsiders perspective. He recapped pretty well that after the Vegas loss, Bones melt down, PLD wanting out, Wheeler needing to be bought out, and the rumors of Scheifele and Helly wanting out he thought the Jets were going to have to tear it down.

He felt getting Helle and Schief done, PLD moved for a good package, then the type of season the team had where they gave up the fewest goals in the NHL while having no trouble scoring was pretty much as good as it gets for a GM’s effort given how dire things had looked.

Honestly before that report I had been reflecting a bit more on how good last season was and how much fun it was to watch our team most nights. Of course there were ups and downs but 52-24-6 for 110 points was outstanding.

The playoffs really REALLY soured me but I am starting to at least be able to appreciate what that team got done in the regular season.

It leads me to believe that Mark and TNSE will head into this season with some confidence that they have a good hockey team. I don’t expect any panic.

Now to 2024-2025 projections that is interesting. I will wait to see what our final roster looks like. August is always quite.

Things I am currently pondering (I will probably make full predictions before the season):

Can Arniel keep the team playing that (“Jets hockey”) defensive, pressure, system the Jets played last season?

How will the goaltending do this season?

What is the over under for Gabe on games played? I am expecting 50ish.

Will any prospect emerge (Ville or Lambert)

How will Hail Mary Alphie do on the Moose/Jets.

How will Cole’s season go under a new coach.

How will the new coaching staff perform.

Obviously it will be interesting to follow the loose ends (Ehlers status, Mr Magoo)


I think this is still a good hockey team but we captured lightning in a bottle last season and that team overachieved in the regular season IMO."
"","Aug 3, 2024","What action will pick up as we get close to camps opening? Action here? Sure, we will have things to talk about, starting with the Young Stars Tournament. But training camp is not a time when trades happen. Early season? Nope, not often.

I think Jets need change. As time passes it becomes less and less likely until the TD gets close. McGroarty for another 2C rental? Ehlers as an own rental and then walks? Is that what we should expect?"
"Buffdog","Aug 3, 2024","All are good questions

For me, the big one will be whether Arniel keeps the same style of play that Bones had, or will he tweak it?

It's my personal belief that the effort/exertion need to be successful in that system leads to players fatiguing as the season rolls on. I think that was one reason for our collapse two seasons ago, and contributed to our bad streak last season (that was righted towards the end) and ultimately the playoff shitshow

It's a lot easier to play that way early on in the season before nagging injuries creep in and everyone gets ground down

I seem to recall a Dallas player last year commenting that playing ""Bones hockey"" wins games but isn't ""fun"" to do"
"Weezeric","Aug 3, 2024","For me a successful season includes a step back points wise while integrating young players. If Heinola, Samberg, Perfetti and one of Lambert or Chibrikov are fully entrenched and succeeding in their roles by the end of the year and the Jets get 95-100 points, huge success."
"Whileee","Aug 3, 2024","In what ways do you think the Jets' current roster is inferior to the beginning of last season?

I'd say that back-up goaltending is weaker. The 3rd D pair might be weaker, depending on how Miller and Heinola/Stanley etc. pan out. 2nd D pair might actually be better with Samberg-Pionk, based on past pair performance.

I think the forwards are as good or better (based on development of Perfetti and Barron).

I think it's up to the coaches to ensure that Scheifele's line doesn't get buried 5v5 and the special teams improve (especially the PK).

110 points is a very high bar, but the overall roster hasn't really diminished and improvements in the special teams might offset some of the deficits."
"sipowicz","Aug 3, 2024","No replacement for Dillon on D, good luck with the squirt sized D corps this season Chevy!"
"TS Quint","Aug 3, 2024","No, the Jets lost because they collapsed to the net by the time McKinnon or Makar hit centre. That left the middle of the ice open in their end. All the Stars did was defend the middle of the ice and made sure the pass couldn't get to the trailer in the middle. There's no math to it. Just watching what the other team is having success and getting in the way of it."
"TS Quint","Aug 3, 2024","Using stats to define Connor as poor defensively is peak misuse of stats to create a narrative. 

People act like Connor is a centre or defenseman on the ice. He's a winger and not only a winger he's the F1 winger, the position that has the least defensive impact on the ice."
"WolfHouse","Aug 3, 2024","A bit the same way we crucified Laine for his play - but I'm pretty sure its in the game design"
"","Aug 3, 2024","I think the top scoring forwards get burnt out playing that style."
"Whileee","Aug 3, 2024","Big Logan up next..."
"WolfHouse","Aug 3, 2024","Can we shorten that to Blogan"
"Whileee","Aug 3, 2024","Reality is that the Jets consistently give up more chances and goals against when Connor is on the ice than when he's not. It's not a short -term issue.

I think there are specific reasons why the Jets struggle defensively when Connor is on the ice.

1. Zone exits... Connor is very weak at zone exits so opposing teams exploit that by pressuring the Jets to his side when he's on the ice. A failed zone exit results in extended D zone time that leads to the D and F tiring out and giving up scoring chances.

2. Connor has a penchant for turnovers at his blue line when trying for quick rush offense. Those turnovers result in high danger rushes against.

3. Offensive zone turnovers... Connor has a very predictable approach to offensive zone strategy, with lots of small area maneuvers and twists and cut-backs deep in the offensive zone. The problem is that good teams know how to defend that with good structure, and when Connor or linemates turn the puck over they are usually starting deep in the offensive zone, while opponents are well-structured for break outs and transition offense, which sometimes leads to extended D zone time for Connor at the end of their usual shift length.

In terms of the actual shot volumes and locations against the Jets, it's pretty clear that the Jets are facing a lot more while Connor is on the ice."
"TS Quint","Aug 3, 2024","Turnovers are not an issue with Connor. Since 17/18 he sits 16th on the Jets /60. So we are supposed to replace him with Ehlers who is 5th? the only other Jet who played significant time and was worse than Ehlers for turnovers is Laine.

Even your chart shows the LW gives up more shots from the point than Connor. And the big heat is infront of the net. That's the responsibility of the centre and defense. 

Using these blanket stats that input 10 players on the ice and attributing the output to one player is dubious at best. At worst you find what you are trying to find by starting at the answer and work backwards."
"WolfHouse","Aug 3, 2024","This is a bit skewed given that connor is not on the 5v5 shutdown line - prob more about indictment of scheif and a dem9nstration of Lowry importance"
"","Aug 3, 2024","Goal, mainly backup, but I don't expect a Vezina from Hellebuyck every season.

D corps in total, without going into pairs, for the absence of Dillon. DeMelo showed some cracks in his game last year. He might be beginning to decline.

Several F will be starting a slow decline. Not saying any are washed up but each year they will be slightly less effective than the year before.

 there is a significant improvement in ST they could still do very well.  Scheifele and Connor are broken up the top 6 might be better. But we still don't have a 2C. Vilardi will still probably miss 25-35% of the season. Ehlers' status is still up in the air.

I don't know why people keep expecting more from Barron. His production will increase if his role is increased but he will be the same player."
"Weezeric","Aug 3, 2024","So basically you can count on the bad things to continue to be bad, and the good things to become less good. Quite a pessimistic view of the world."
"","Aug 3, 2024","Agree with most. I hope Kupari battles for a spot. I expect him to clear waivers and start the season with the Moose.

I don't mind Names at 2C but I hope Perfetti claims the job."
"surixon","Aug 3, 2024","The issue is he gets outscored in terms of actual goals unless he is separated from Mark. He does well with Perfetti in terms of outscoring and did well with Dubois as well. Him and Scheifele just stink together and really shouldn't be played outside of the pp or 3 on 3 as a unit. 

I'd like to see this:

KC Perfetti Vilardi speed and scoring, two/way playmaking and two/way size.

Put Fly with Mark and give them Nino for RW."
"","Aug 3, 2024","Who's Hail Mary Alphy? 

Which team is the real Jets, regular season or PO?
I think it is somewhere in between. The pair of top 6 F rentals appeared to do more harm than good in the PO but they are gone. Regular season Jets did overachieve though. So I expect a step back. How big a step is tough to guess. The competition in the Central appears to have gotten better."
"","Aug 3, 2024","If they managed to integrate that much youth and have them succeeding in their roles I would expect a step back. That would not be a bad thing as I think it would be limited to 1 or 2 years. The next year add Salomonsson, the other of Lambert or Chib and Barlow and we are looking at a rebuilt team. And we would have also added to our prospect pool.

Not sure who all are out with all that youth coming in."
"","Aug 3, 2024","I agree - this was a least part of it - 
I'd add that they didn't get much done in the Nzone like they did all season - that's where you need to disrupt the Aves because they will dominate if you give them your zone. 
Lots of work required when attempting to shut down (or slow down) the Aves - we didn't have it or were too caught up in the speed the Aves brought.
A team with the Jets talent level need to work hard and play a very structured game (defensive) if they want to compete with a team like the Aves."
"Whileee","Aug 3, 2024","I didn't reference the volume of turnovers per se, but rather the location and timing, and that wasn't based on stats per se, but rather on observing play for many games. By the way, I think turnover stats are much more dubious than shot volumes and locations, which are more reliably measured.

As I noted above, a winger can indirectly contribute to high rates of high danger shots through more in-zone or neutral zone turnovers or failed zone exits that result in more rush chances or zone time against.

Regardless, the basic shot and goal stats very clearly show that the Jets give up more shots and goals against when Connor is on the ice, even after adjusting for score, venue, and players on the ice. It's too consistent to just be coincidence, so there must be an explanation, which is what I've tried to explain above.

Just to recap one basic statistic... Over the past 5 seasons at 5v5 opponents score against the Jets 1.8 times as often (on a per minute basis) when Connor is on the ice than when Ehlers is on the ice. That's based on over 5000 minutes for Connor and over 4000 minutes for Ehlers. It can't just be bad luck. I've explained why I think it happens. What would be your analysis and explanation as to why the Jets give up so many more goals when Connor is on the ice?"
"","Aug 3, 2024","The line is not good defensively - and as you noted, the biggest issue is zone exits.
A lot of that comes from the way that line plays in their own end - and the fact that 55 is not a good defensive center.
Lots of chaos where the defensive is unsupported by a center who will chip in on those puck battles - so the outlet is a ring around the boards to you know who. 
KC is not going to be effective on zone exits if he is trying to pick up outlets along the walls and in battle with a dman - he's not built for it and would be much more effective picking up open ice outlets and turning it up ice.
That rarely happens when that ""Line"" is on the ice."
"Buffdog","Aug 3, 2024","Ehlers is definitely elite at zone exits, but he also seems to turn pucks over at the offensive zone blueline. I'm not sure about the frequency, but I do notice it when it happens because coaches HATE turnovers at both bluelines because of the counterattack that they cause (the resto of the team is moving in the wrong direction)

As for the scoring rates, I'd be curious to see how much the gap narrows once stregth of competition is controlled for. It seems obvious that Ehlers makes the top line better vs Connor, but usually ehlers is either being played with Schief and Connor or Connor is injured. There haven't been many instances where they've swapped spots... but Connor Monahan Perfetti was a great line in the limited minutes they got when Bones reunited ESL"
"Whileee","Aug 3, 2024","After adjusting for teammates and competition, the Jets still give up way more goals and expected goals per 60 minutes when Connor is on the ice."
"Jet","Aug 3, 2024","I was going to say. 

Connor doesn't turn the puck over much. If he doesn't have a play, he flips it deep and pursues it. 

He doesn't really have much risk in his game when he has the puck on his stick. 

His problem is getting the puck back (or even just out) when it's in our zone. 

He is pretty good at stripping pucks though."
"","Aug 3, 2024","I would call his position a mitigating factor in the impact. Just like him playing with Scheifele is a mitigating factor.

If you think the characterization of him being poor defensively is unfair, I'm open to hearing why. Same with Scheifele, who does play center, I guess.

Even with that said... I feel like labeling him poor, below average, not great with negligible impact as F1, etc isn't the point.

Most folks here the issue is Scheifele and Connor both not being good defensively, so it compounds their respective issues. The issue is when those two us our top line, that line is not very good. Like at all. Among the worst top lines in the NHL.

Edit: after re-reading my post I feel a need to double down here. I was emphasizing the need to split up Scheifele and Connor in defending Connor's value to the team.

""Using stats to create a narrative"" is a pretty much saying that I am full of shit lol

How do you feel about Connor and Scheifele together vs Ehlers and Scheifele? Is that a made up narrative? Or just the part about Connor?"
"","Aug 3, 2024","We can label him how we like, respectively. But this is the meat and potatoes of it"
"","Aug 3, 2024","The better question might be, why is KC better with other centers - and why is 55 better with other wingers
The answers have been discussed to death - 
KC will be better playing with a center that is decent defensively.
55 will be better with a winger who can take care of outlets with minimal playmaking involved (Ehlers).

And mitigating factors are important if you want to dig into issues and sort out the ""whys"""
"voyageur","Aug 4, 2024","I remember Dave Lowry saying Adam likes having a RH shot on his line. Why I could only speculate. Appleton does a lot of legwork for the checking line, but I do wonder if Lambert could slot in there, as a way to learn how to be a complete centre from apprenticeship...there was a lot of praise in his defensive game at the AHL level. I like the winger combos for the top 6. I think you should be able to switch centers between them and still have success."
"","Aug 4, 2024","I agree - and I think you and I have discussed this in the past - if 55 puts the effort in, his minutes likely would decrease anyway.
If he continues to play at his current level of compete, he could play 30 minutes."
"WolfHouse","Aug 4, 2024","Something happens every year with scheif around all star/Xmas break... he either runs out of gas or someone coaches him to 'save himself' for the playoffs? 

That's when the stick waving and coasting to the bench usually starts... first half of the season we will gush about how 'he's back' and then second half we will all hope he decides to show up... and he does... occasionally"
"robertocarlos","Aug 4, 2024","Which Connor were the Jets trading in that Connor McMichael trade?"
"Heldig","Aug 4, 2024","Many have opined that what is needed is to separate Connor from Scheifele whilst acknowledging there is very little chance it happens."
"","Aug 5, 2024","Perfetti Scheif Volare
Connor-Lambert-Ehlers
Nino-Names-Iafallo
Barron-Lowry-Apples"
"jgimp","Aug 5, 2024","The speed of that second line, jezuz"
"Heldig","Aug 5, 2024","I was thinking the same top 2 lines (I would spell out Vilardi though)."
"Cotton Eye Joe","Aug 6, 2024","Fast 2nd line.
Incredibly slow 1st and 3rd lines.
I think Nino is a 4th liner. He looked really slow last half of season."
"surixon","Aug 7, 2024","Chevy just interviewed at the Hilinka:

-Thinks Perfetti is just scratching the surface and has integrated himself into the core in the room.

-Needs young players to step up and help push team forward. Thinks Lambert and Chibrikov should factor sooner then later.

- Pumped Stanley's tires but also indicated its up to the young dmen like him and Ville to grab the positions that are open.

-Excited about the coaching staff and the fresh special team perspectives.

May have taken a subtle shot at McGroarty by pumping up the Moose and its role in development and naming top players for us that went through it.

Seems like the orgs view align with where I'm at. The core is aging and need an injection of young skill to keep things moving forward."
"","Aug 7, 2024","That core comment about Perfetti has me wondering if they're pushing hard for some term.

Thanks for the update!"
"surixon","Aug 7, 2024","It would align with the rumblings we've heard from some of the media about him being open to a long term deal. Perhaps the org is as well.

Wouldn't surprise me if he's quickly moving up the rungs in the room as he's Scheifele's protégé. His demeanor also really fits that of our leadership group."
"Whileee","Aug 7, 2024","Do you have a link to the interview?"
"surixon","Aug 7, 2024","No as I was watching it live. My guess is TSN will post it later as they did with the Armstrong/Cooper interview yesterday."
"gojetsgo","Aug 7, 2024",""
"Bigfish","Aug 8, 2024","So after watching Bonehead and his associate coach bench Perfetti for 11 regular season games and 4.1 playoff games, and not having played a game since, Chevy thinks Perfetti has intigrated himself into the core in the room. Good lord. Chevy is the Crash Davis of interviews."
"surixon","Aug 8, 2024","Could be Chevy didn't agree with Bones's decisions."
"WaveRaven","Aug 8, 2024","I never put any stock in what Chevy says. They are going to do everything they can to make the playoffs and that's not conducive to integrating youth. I suspect by young players he's referring to Gus Kupari Stanley Perfetti Heiny.

We'll find out soon enough. I suspect both Lambert and Chibs start on the Moose."
"Guardian17","Aug 8, 2024","With the Jets, Payne will be running the forwards and the power play and he’s excited about some of the pieces at his disposal, while recognizing that improving the power play efficiency is a priority for the upcoming season."
"KingBogo","Aug 8, 2024","Integrating youth can be conductive to making the playoffs if they are developmentally ready and a step up skill wise on current depth players. No doubt the organization wants its prospects to come through the Moose development tract but they now look to have a couple ready taking that track with clear roster spots available."
"KingBogo","Aug 8, 2024","Agreed I think there was a growing disconnect between Chevy’s long term plans and Bones’ short term roster decisions. We will see what Arniel does but I expect the organization to start pushing in their young players this year and next much as they did in 15-16 and 16-17 and push hard for a contention window supported by young cost efficient players on their ELCs."
"","Aug 8, 2024","Or he feels the year was a good learning season for Cole and he reacted well to what took place.
I'm sure the players in the room would also pick up on how well Cole reacted to the challenges - and that would help him integrate in the core.
Rookies go through tough situations - how well they react and adapt is the measuring stick.
There is no reason to assume the coach was working outside Chevy's box -"
"","Aug 8, 2024","Part of the reason Cole didn't get the minutes he was getting also had something to do with Chevy and his late roster adds - 
He's going to take the safe route when discussing Cole - which is looking forward rather than looking back.
I suppose the offseason is all about theories - but in the end, Cole is likely a better pro after what he went through LY"
"Heldig","Aug 8, 2024","I think the plan was to integrate Perfetti into the top 6 ...but the team was way better than expected and when Perfetti started struggling Chevy acted to help the team NOW. 

Sucks it failed miserably - making Perfettis' lesser role look worse - but hindsight and all."
"KingBogo","Aug 8, 2024","Agreed but multiple things can be true at the same time. Short term moves at the TDL can by counter to the longer term strategy if you think you are close now. I think/hope Chevy will now double down on the longer term strategy."
"","Aug 8, 2024","I agree - 
I think Chevy learned from that more than the coach - and I hope he sticks with that strategy."
"surixon","Aug 8, 2024","My guess is Arniel got the job because he's aligned to what managemnts direction is. If he wasn't Chevy would have gone with someone who was. I think it's very telling Chevy and the media have said numerous times that Cole stands to gain a lot and that all three are on the same page. Chevy has also talked about youth integration a number of times this summer. 

Bones had a very unique mandate imo. He was always only seen as short term and his primary objectives were to fix a broken room and implement a defensive foundation. I think things like youth integration were down on the priority list he was given.

I'd expect Arniel has a very different set of objectives."
"surixon","Aug 8, 2024","We were told multiple times by multiple people Cole handled it like a pro. I'm sure he'll be better for it but I also think mistakes were made by both coach and GM alike.

Even with the deadline moves we had options for different types of combinations and philosophys Bones elected not to try. 

I think it's very possible that while Chevy did go put and get other players to give the team a boost he also wasn't satisfied with Cole sitting as well. Both can be correct."
"Bigfish","Aug 8, 2024","Chevy is the boss. It's his team. He hires and fires coaches, not the other way around. If he wanted Cole to play Cole would of played."
"surixon","Aug 8, 2024","That isn't what has been presented to us. A number of media have indicated that the relationship is that Chevy sets the roster and the coach decides how to use it.

We saw this play out a few years ago with Cehvy stating to the media that he wanted Ville to play and then we had Maurice fire back in the media and then choose not to play him. 

Coaches and GMs aren't always aligned and a winning team isn't firing a coach a month before the playoffs because there isn't full agreement in how the roster gets used."
"WolfHouse","Aug 8, 2024","Yeah Chevy does not seem like a handsome on GM... or maybe Chipman has a direct line to the coaches...

Edit: HANDS ON hahaha fkn autocorrect"
"WaveRaven","Aug 8, 2024","Yes true but when you tell a coach to make playoffs they're going to play it safe. Yutes aren't the safe play. I believe why you see them continuously getting vets and playing them over youngsters.

This team isn't good enough to shelter youngsters like Dallas. Like I said we shall see. But no way do they want to take any step back."
"KingBogo","Aug 8, 2024","But if your youth are ready you don’t have to take a step back. That is why you have your own farm team so your young players can step in and be an instant upgrade if they are developmentally ready. It has been an effective model for many organizations, you just need a coach who buys into the plan. My guess is Arniel wouldn’t have gotten the job if he didn’t buy into Chevy’s plan."
